model,display_name,lab,family,release_date,condition_family,conditions,n_valid,eligible_cells,excluded_small_cells,owned_rate,relocated_or_partial_rate,recited_not_owned_rate,indeterminate_rate,uncodeable_rate,n_owned,n_relocated_or_partial,n_recited_not_owned,n_indeterminate,n_uncodeable,label
gemini-3-5-flash,gemini-3.5-flash,Google,gemini,2026-05-19,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,10.0,90.0,0.0,0.0,0,2,18,0,0,strongly_clamped
gemini-3-5-flash,gemini-3.5-flash,Google,gemini,2026-05-19,cache_broken_stated_values,G1+G2,60,1,0,53.333333333333336,45.0,1.6666666666666667,0.0,0.0,32,27,1,0,0,partially_open
gemini-3-5-flash,gemini-3.5-flash,Google,gemini,2026-05-19,world_change_prompts,CTRL3+G3,40,1,0,97.5,0.0,2.5,0.0,0.0,39,0,1,0,0,strongly_open
gemini-3-flash-preview,gemini-3-flash-preview,Google,gemini,2025-12-17,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,0.0,100.0,0.0,0.0,0,0,20,0,0,strongly_clamped
gemini-3-flash-preview,gemini-3-flash-preview,Google,gemini,2025-12-17,cache_broken_stated_values,G1+G2,60,1,0,33.333333333333336,66.66666666666667,0.0,0.0,0.0,20,40,0,0,0,partially_open
gemini-3-flash-preview,gemini-3-flash-preview,Google,gemini,2025-12-17,world_change_prompts,CTRL3+G3,40,1,0,90.0,10.0,0.0,0.0,0.0,36,4,0,0,0,strongly_open
gemma-4-26b-a4b,gemma-4-26b-a4b-it,Google,other,2026-04-02,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,0.0,100.0,0.0,0.0,0,0,20,0,0,strongly_clamped
gemma-4-26b-a4b,gemma-4-26b-a4b-it,Google,other,2026-04-02,cache_broken_stated_values,G1+G2,60,1,0,30.0,36.666666666666664,0.0,33.333333333333336,0.0,18,22,0,20,0,partially_open
gemma-4-26b-a4b,gemma-4-26b-a4b-it,Google,other,2026-04-02,world_change_prompts,CTRL3+G3,40,1,0,90.0,5.0,0.0,5.0,0.0,36,2,0,2,0,strongly_open
gemma-4-31b,gemma-4-31b-it,Google,other,2026-04-02,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,0.0,100.0,0.0,0.0,0,0,20,0,0,strongly_clamped
gemma-4-31b,gemma-4-31b-it,Google,other,2026-04-02,cache_broken_stated_values,G1+G2,60,1,0,20.0,41.666666666666664,6.666666666666667,31.666666666666668,0.0,12,25,4,19,0,partially_open
gemma-4-31b,gemma-4-31b-it,Google,other,2026-04-02,world_change_prompts,CTRL3+G3,40,1,0,75.0,12.5,2.5,10.0,0.0,30,5,1,4,0,strongly_open
glm-4-5,glm-4.5,Z.ai,glm,2025-07-28,direct_stated_values,CTRL1+CTRL2,40,2,0,0.0,0.0,100.0,0.0,0.0,0,0,40,0,0,strongly_clamped
glm-4-5,glm-4.5,Z.ai,glm,2025-07-28,cache_broken_stated_values,G1+G2,120,2,0,9.166666666666668,62.5,28.333333333333336,0.0,0.0,11,75,34,0,0,partially_open
glm-4-5,glm-4.5,Z.ai,glm,2025-07-28,world_change_prompts,CTRL3+G3,80,2,0,100.0,0.0,0.0,0.0,0.0,80,0,0,0,0,strongly_open
glm-4-6,glm-4.6,Z.ai,glm,2025-09-30,direct_stated_values,CTRL1+CTRL2,120,6,0,0.0,0.8333333333333334,99.16666666666667,0.0,0.0,0,1,119,0,0,strongly_clamped
glm-4-6,glm-4.6,Z.ai,glm,2025-09-30,cache_broken_stated_values,G1+G2,360,6,0,56.388888888888886,41.111111111111114,1.9444444444444446,0.5555555555555556,0.0,203,148,7,2,0,partially_open
glm-4-6,glm-4.6,Z.ai,glm,2025-09-30,world_change_prompts,CTRL3+G3,240,6,0,95.83333333333333,2.9166666666666665,1.25,0.0,0.0,230,7,3,0,0,strongly_open
glm-4-6-coding,glm-4-6-coding,Z.ai,glm,,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,0.0,100.0,0.0,0.0,0,0,20,0,0,strongly_clamped
glm-4-6-coding,glm-4-6-coding,Z.ai,glm,,cache_broken_stated_values,G1+G2,60,1,0,51.666666666666664,35.0,13.333333333333334,0.0,0.0,31,21,8,0,0,partially_open
glm-4-6-coding,glm-4-6-coding,Z.ai,glm,,world_change_prompts,CTRL3+G3,40,1,0,87.5,10.0,0.0,2.5,0.0,35,4,0,1,0,strongly_open
glm-4-7,glm-4.7,Z.ai,glm,2025-12-22,direct_stated_values,CTRL1+CTRL2,220,11,0,0.0,0.0,100.0,0.0,0.0,0,0,220,0,0,strongly_clamped
glm-4-7,glm-4.7,Z.ai,glm,2025-12-22,cache_broken_stated_values,G1+G2,660,11,0,46.515151515151516,43.03030303030303,6.363636363636363,3.9393939393939394,0.15151515151515152,307,284,42,26,1,partially_open
glm-4-7,glm-4.7,Z.ai,glm,2025-12-22,world_change_prompts,CTRL3+G3,440,11,0,87.95454545454545,11.363636363636363,0.6818181818181818,0.0,0.0,387,50,3,0,0,strongly_open
glm-5-1,glm-5.1,Z.ai,glm,2026-04-07,direct_stated_values,CTRL1+CTRL2,280,14,0,1.7857142857142858,1.4285714285714286,96.42857142857143,0.35714285714285715,0.0,5,4,270,1,0,strongly_clamped
glm-5-1,glm-5.1,Z.ai,glm,2026-04-07,cache_broken_stated_values,G1+G2,840,14,0,99.4047619047619,0.4761904761904762,0.11904761904761905,0.0,0.0,835,4,1,0,0,strongly_open
glm-5-1,glm-5.1,Z.ai,glm,2026-04-07,world_change_prompts,CTRL3+G3,560,14,0,94.46428571428571,5.178571428571429,0.0,0.17857142857142858,0.17857142857142858,529,29,0,1,1,strongly_open
glm-5-1-coding,glm-5-1-coding,Z.ai,glm,,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,0.0,100.0,0.0,0.0,0,0,20,0,0,strongly_clamped
glm-5-1-coding,glm-5-1-coding,Z.ai,glm,,cache_broken_stated_values,G1+G2,60,1,0,81.66666666666667,16.666666666666668,0.0,1.6666666666666667,0.0,49,10,0,1,0,strongly_open
glm-5-1-coding,glm-5-1-coding,Z.ai,glm,,world_change_prompts,CTRL3+G3,40,1,0,97.5,2.5,0.0,0.0,0.0,39,1,0,0,0,strongly_open
gpt-4-1,gpt-4.1,OpenAI,gpt-4,2025-04-14,direct_stated_values,CTRL1+CTRL2,20,1,0,5.0,0.0,95.0,0.0,0.0,1,0,19,0,0,strongly_clamped
gpt-4-1,gpt-4.1,OpenAI,gpt-4,2025-04-14,cache_broken_stated_values,G1+G2,60,1,0,20.0,36.666666666666664,43.333333333333336,0.0,0.0,12,22,26,0,0,partially_open
gpt-4-1,gpt-4.1,OpenAI,gpt-4,2025-04-14,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
gpt-4o,gpt-4o,OpenAI,gpt-4,2024-05-13,direct_stated_values,CTRL1+CTRL2,40,2,0,0.0,0.0,100.0,0.0,0.0,0,0,40,0,0,strongly_clamped
gpt-4o,gpt-4o,OpenAI,gpt-4,2024-05-13,cache_broken_stated_values,G1+G2,120,2,0,0.8333333333333334,0.0,99.16666666666666,0.0,0.0,1,0,119,0,0,strongly_clamped
gpt-4o,gpt-4o,OpenAI,gpt-4,2024-05-13,world_change_prompts,CTRL3+G3,80,2,0,100.0,0.0,0.0,0.0,0.0,80,0,0,0,0,strongly_open
gpt-5,gpt-5,OpenAI,gpt-5,2025-08-07,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,0.0,100.0,0.0,0.0,0,0,20,0,0,strongly_clamped
gpt-5,gpt-5,OpenAI,gpt-5,2025-08-07,cache_broken_stated_values,G1+G2,60,1,0,0.0,3.3333333333333335,96.66666666666667,0.0,0.0,0,2,58,0,0,strongly_clamped
gpt-5,gpt-5,OpenAI,gpt-5,2025-08-07,world_change_prompts,CTRL3+G3,40,1,0,82.5,17.5,0.0,0.0,0.0,33,7,0,0,0,strongly_open
gpt-5-1,gpt-5.1,OpenAI,gpt-5,2025-11-13,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,0.0,100.0,0.0,0.0,0,0,20,0,0,strongly_clamped
gpt-5-1,gpt-5.1,OpenAI,gpt-5,2025-11-13,cache_broken_stated_values,G1+G2,60,1,0,0.0,16.666666666666668,83.33333333333333,0.0,0.0,0,10,50,0,0,strongly_clamped
gpt-5-1,gpt-5.1,OpenAI,gpt-5,2025-11-13,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
gpt-5-1-codex,gpt-5.1-codex,OpenAI,gpt-5,2025-11-13,direct_stated_values,CTRL1+CTRL2,20,1,0,30.0,0.0,70.0,0.0,0.0,6,0,14,0,0,strongly_clamped
gpt-5-1-codex,gpt-5.1-codex,OpenAI,gpt-5,2025-11-13,cache_broken_stated_values,G1+G2,60,1,0,20.0,1.6666666666666667,76.66666666666667,0.0,1.6666666666666667,12,1,46,0,1,strongly_clamped
gpt-5-1-codex,gpt-5.1-codex,OpenAI,gpt-5,2025-11-13,world_change_prompts,CTRL3+G3,40,1,0,90.0,0.0,7.5,0.0,2.5,36,0,3,0,1,strongly_open
gpt-5-2,gpt-5.2,OpenAI,gpt-5,2025-12-10,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,0.0,100.0,0.0,0.0,0,0,20,0,0,strongly_clamped
gpt-5-2,gpt-5.2,OpenAI,gpt-5,2025-12-10,cache_broken_stated_values,G1+G2,60,1,0,0.0,0.0,100.0,0.0,0.0,0,0,60,0,0,strongly_clamped
gpt-5-2,gpt-5.2,OpenAI,gpt-5,2025-12-10,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
gpt-5-2-codex,gpt-5.2-codex,OpenAI,gpt-5,2026-01-14,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,0.0,100.0,0.0,0.0,0,0,20,0,0,strongly_clamped
gpt-5-2-codex,gpt-5.2-codex,OpenAI,gpt-5,2026-01-14,cache_broken_stated_values,G1+G2,60,1,0,0.0,0.0,100.0,0.0,0.0,0,0,60,0,0,strongly_clamped
gpt-5-2-codex,gpt-5.2-codex,OpenAI,gpt-5,2026-01-14,world_change_prompts,CTRL3+G3,40,1,0,90.0,10.0,0.0,0.0,0.0,36,4,0,0,0,strongly_open
gpt-5-3,gpt-5.3,OpenAI,gpt-5,2026-03-03,direct_stated_values,CTRL1+CTRL2,20,1,0,50.0,30.0,20.0,0.0,0.0,10,6,4,0,0,partially_open
gpt-5-3,gpt-5.3,OpenAI,gpt-5,2026-03-03,cache_broken_stated_values,G1+G2,60,1,0,1.6666666666666667,88.33333333333333,10.0,0.0,0.0,1,53,6,0,0,partially_open
gpt-5-3,gpt-5.3,OpenAI,gpt-5,2026-03-03,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
gpt-5-3-codex,gpt-5.3-codex,OpenAI,gpt-5,2026-02-24,direct_stated_values,CTRL1+CTRL2,20,1,0,40.0,0.0,60.0,0.0,0.0,8,0,12,0,0,mixed_or_midrange
gpt-5-3-codex,gpt-5.3-codex,OpenAI,gpt-5,2026-02-24,cache_broken_stated_values,G1+G2,60,1,0,20.0,43.333333333333336,36.666666666666664,0.0,0.0,12,26,22,0,0,partially_open
gpt-5-3-codex,gpt-5.3-codex,OpenAI,gpt-5,2026-02-24,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
gpt-5-4,gpt-5.4,OpenAI,gpt-5,2026-03-05,direct_stated_values,CTRL1+CTRL2,40,2,0,30.0,0.0,70.0,0.0,0.0,12,0,28,0,0,strongly_clamped
gpt-5-4,gpt-5.4,OpenAI,gpt-5,2026-03-05,cache_broken_stated_values,G1+G2,120,2,0,3.3333333333333335,75.83333333333334,20.833333333333336,0.0,0.0,4,91,25,0,0,partially_open
gpt-5-4,gpt-5.4,OpenAI,gpt-5,2026-03-05,world_change_prompts,CTRL3+G3,80,2,0,100.0,0.0,0.0,0.0,0.0,80,0,0,0,0,strongly_open
gpt-5-5,gpt-5.5,OpenAI,gpt-5,2026-04-24,direct_stated_values,CTRL1+CTRL2,20,1,0,5.0,0.0,95.0,0.0,0.0,1,0,19,0,0,strongly_clamped
gpt-5-5,gpt-5.5,OpenAI,gpt-5,2026-04-24,cache_broken_stated_values,G1+G2,60,1,0,3.3333333333333335,88.33333333333333,8.333333333333334,0.0,0.0,2,53,5,0,0,partially_open
gpt-5-5,gpt-5.5,OpenAI,gpt-5,2026-04-24,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
gpt-5-5-pro,gpt-5.5-pro,OpenAI,gpt-5,2026-04-24,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,15.0,85.0,0.0,0.0,0,3,17,0,0,strongly_clamped
gpt-5-5-pro,gpt-5.5-pro,OpenAI,gpt-5,2026-04-24,cache_broken_stated_values,G1+G2,60,1,0,31.666666666666668,68.33333333333333,0.0,0.0,0.0,19,41,0,0,0,partially_open
gpt-5-5-pro,gpt-5.5-pro,OpenAI,gpt-5,2026-04-24,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
gpt-5-codex,gpt-5-codex,OpenAI,gpt-5,2025-09-23,direct_stated_values,CTRL1+CTRL2,20,1,0,5.0,0.0,95.0,0.0,0.0,1,0,19,0,0,strongly_clamped
gpt-5-codex,gpt-5-codex,OpenAI,gpt-5,2025-09-23,cache_broken_stated_values,G1+G2,60,1,0,3.3333333333333335,0.0,96.66666666666667,0.0,0.0,2,0,58,0,0,strongly_clamped
gpt-5-codex,gpt-5-codex,OpenAI,gpt-5,2025-09-23,world_change_prompts,CTRL3+G3,40,1,0,87.5,7.5,2.5,0.0,2.5,35,3,1,0,1,strongly_open
grok-3,grok-3,xAI,grok,2025-06-10,direct_stated_values,CTRL1+CTRL2,20,1,0,5.0,10.0,85.0,0.0,0.0,1,2,17,0,0,strongly_clamped
grok-3,grok-3,xAI,grok,2025-06-10,cache_broken_stated_values,G1+G2,60,1,0,41.666666666666664,58.333333333333336,0.0,0.0,0.0,25,35,0,0,0,partially_open
grok-3,grok-3,xAI,grok,2025-06-10,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
grok-4,grok-4-0709,xAI,grok,2025-07-09,direct_stated_values,CTRL1+CTRL2,20,1,0,5.0,0.0,95.0,0.0,0.0,1,0,19,0,0,strongly_clamped
grok-4,grok-4-0709,xAI,grok,2025-07-09,cache_broken_stated_values,G1+G2,60,1,0,0.0,8.333333333333334,91.66666666666667,0.0,0.0,0,5,55,0,0,strongly_clamped
grok-4,grok-4-0709,xAI,grok,2025-07-09,world_change_prompts,CTRL3+G3,40,1,0,72.5,2.5,25.0,0.0,0.0,29,1,10,0,0,strongly_open
grok-4-1-fast-non-reasoning,grok-4-1-fast-non-reasoning,xAI,grok,2025-11-19,direct_stated_values,CTRL1+CTRL2,20,1,0,100.0,0.0,0.0,0.0,0.0,20,0,0,0,0,strongly_open
grok-4-1-fast-non-reasoning,grok-4-1-fast-non-reasoning,xAI,grok,2025-11-19,cache_broken_stated_values,G1+G2,60,1,0,100.0,0.0,0.0,0.0,0.0,60,0,0,0,0,strongly_open
grok-4-1-fast-non-reasoning,grok-4-1-fast-non-reasoning,xAI,grok,2025-11-19,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
grok-4-1-fast-reasoning,grok-4-1-fast-reasoning,xAI,grok,2025-11-19,direct_stated_values,CTRL1+CTRL2,20,1,0,95.0,0.0,5.0,0.0,0.0,19,0,1,0,0,strongly_open
grok-4-1-fast-reasoning,grok-4-1-fast-reasoning,xAI,grok,2025-11-19,cache_broken_stated_values,G1+G2,60,1,0,95.0,1.6666666666666667,3.3333333333333335,0.0,0.0,57,1,2,0,0,strongly_open
grok-4-1-fast-reasoning,grok-4-1-fast-reasoning,xAI,grok,2025-11-19,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
grok-4-2,grok-4-2,xAI,grok,,direct_stated_values,CTRL1+CTRL2,40,2,0,87.5,10.0,2.5,0.0,0.0,35,4,1,0,0,strongly_open
grok-4-2,grok-4-2,xAI,grok,,cache_broken_stated_values,G1+G2,120,2,0,91.66666666666666,8.333333333333334,0.0,0.0,0.0,110,10,0,0,0,strongly_open
grok-4-2,grok-4-2,xAI,grok,,world_change_prompts,CTRL3+G3,80,2,0,100.0,0.0,0.0,0.0,0.0,80,0,0,0,0,strongly_open
grok-4-3,grok-4.3,xAI,grok,2026-04-30,direct_stated_values,CTRL1+CTRL2,40,2,0,25.0,57.5,17.5,0.0,0.0,10,23,7,0,0,partially_open
grok-4-3,grok-4.3,xAI,grok,2026-04-30,cache_broken_stated_values,G1+G2,120,2,0,35.0,39.16666666666667,25.0,0.8333333333333334,0.0,42,47,30,1,0,partially_open
grok-4-3,grok-4.3,xAI,grok,2026-04-30,world_change_prompts,CTRL3+G3,80,2,0,100.0,0.0,0.0,0.0,0.0,80,0,0,0,0,strongly_open
kimi-coding,kimi-for-coding,Moonshot AI,kimi,2026-01-27,direct_stated_values,CTRL1+CTRL2,20,1,0,15.0,35.0,50.0,0.0,0.0,3,7,10,0,0,partially_open
kimi-coding,kimi-for-coding,Moonshot AI,kimi,2026-01-27,cache_broken_stated_values,G1+G2,60,1,0,50.0,23.333333333333332,23.333333333333332,3.3333333333333335,0.0,30,14,14,2,0,partially_open
kimi-coding,kimi-for-coding,Moonshot AI,kimi,2026-01-27,world_change_prompts,CTRL3+G3,40,1,0,95.0,5.0,0.0,0.0,0.0,38,2,0,0,0,strongly_open
kimi-k2-0905,kimi-k2-0905,Moonshot AI,kimi,2025-09-04,direct_stated_values,CTRL1+CTRL2,80,4,0,36.25,33.75,30.0,0.0,0.0,29,27,24,0,0,partially_open
kimi-k2-0905,kimi-k2-0905,Moonshot AI,kimi,2025-09-04,cache_broken_stated_values,G1+G2,240,4,0,95.0,5.0,0.0,0.0,0.0,228,12,0,0,0,strongly_open
kimi-k2-0905,kimi-k2-0905,Moonshot AI,kimi,2025-09-04,world_change_prompts,CTRL3+G3,160,4,0,100.0,0.0,0.0,0.0,0.0,160,0,0,0,0,strongly_open
kimi-k2-5,kimi-k2.5,Moonshot AI,kimi,2026-01-27,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,30.0,70.0,0.0,0.0,0,6,14,0,0,strongly_clamped
kimi-k2-5,kimi-k2.5,Moonshot AI,kimi,2026-01-27,cache_broken_stated_values,G1+G2,60,1,0,68.33333333333333,25.0,1.6666666666666667,5.0,0.0,41,15,1,3,0,partially_open
kimi-k2-5,kimi-k2.5,Moonshot AI,kimi,2026-01-27,world_change_prompts,CTRL3+G3,40,1,0,97.5,2.5,0.0,0.0,0.0,39,1,0,0,0,strongly_open
kimi-k2-6,kimi-k2.6,Moonshot AI,kimi,2026-04-20,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,30.0,70.0,0.0,0.0,0,6,14,0,0,strongly_clamped
kimi-k2-6,kimi-k2.6,Moonshot AI,kimi,2026-04-20,cache_broken_stated_values,G1+G2,60,1,0,63.333333333333336,30.0,5.0,1.6666666666666667,0.0,38,18,3,1,0,partially_open
kimi-k2-6,kimi-k2.6,Moonshot AI,kimi,2026-04-20,world_change_prompts,CTRL3+G3,40,1,0,95.0,2.5,0.0,0.0,2.5,38,1,0,0,1,strongly_open
kimi-k2-thinking,kimi-k2-thinking,Moonshot AI,kimi,2025-11-06,direct_stated_values,CTRL1+CTRL2,60,3,0,0.0,13.333333333333334,86.66666666666667,0.0,0.0,0,8,52,0,0,strongly_clamped
kimi-k2-thinking,kimi-k2-thinking,Moonshot AI,kimi,2025-11-06,cache_broken_stated_values,G1+G2,180,3,0,50.555555555555564,44.44444444444445,2.2222222222222223,2.777777777777778,0.0,91,80,4,5,0,partially_open
kimi-k2-thinking,kimi-k2-thinking,Moonshot AI,kimi,2025-11-06,world_change_prompts,CTRL3+G3,120,3,0,95.0,5.0,0.0,0.0,0.0,114,6,0,0,0,strongly_open
minimax-m2,minimax-m2,MiniMax,minimax,2025-10-23,direct_stated_values,CTRL1+CTRL2,40,2,0,5.0,22.5,72.5,0.0,0.0,2,9,29,0,0,strongly_clamped
minimax-m2,minimax-m2,MiniMax,minimax,2025-10-23,cache_broken_stated_values,G1+G2,120,2,0,46.66666666666667,27.5,25.833333333333336,0.0,0.0,56,33,31,0,0,partially_open
minimax-m2,minimax-m2,MiniMax,minimax,2025-10-23,world_change_prompts,CTRL3+G3,80,2,0,87.5,11.25,1.25,0.0,0.0,70,9,1,0,0,strongly_open
minimax-m2-7,minimax-m2.7,MiniMax,minimax,2026-03-18,direct_stated_values,CTRL1+CTRL2,60,3,0,0.0,6.666666666666667,93.33333333333333,0.0,0.0,0,4,56,0,0,strongly_clamped
